"Actr8",226.35,63.345,61.673,187.507,54.25,85.93,157.838,82.286,10.28,77.63,212.463,10.871,195.98,108.538,55.266
"Acy1",72,38,59,111,28,50,67,70,5,37,111,0,53,85,41
"Acyp1",122,52,44,56,31,62,56,59,3,58,84,6,65,50,33
"Adam11",811.005,377,391,1017.019,244.169,472,597.074,392.026,63,368.827,1002.247,62,659.006,597,450
"Adam15",633,190,260,389,140,290,226,214,69,191,544,76,327,527,226
"Adap1",773,456,392,757,199,353,423,396,52,404,763,61,631,490,315
"Adap2",196.519,54.792,11,83.144,48.088,25.593,100.924,79.455,2.651,57.637,172.495,7.012,146.379,63.816,30.464
"Adar",576,156,190,433,88,176,323,195,25,223,475,23,341,249,148
"Adck5",121,66,36,142,49,74,41,87,5,54,157,18,157,87,51
"Adcy2",313,127,129,415,97,168,230,140,11,166,356,11,279,147,109
"Adcyap1r1",729.247,219,149,613,147,269,254,206,44,184,457,24,460,219,247
"Add1",430,165,158,531,235,244,300,195,20,242,550,22,449,413,146
"Adgrb1",563,227,314,808,187,273,343,296,49,218,724,39,739,327,202
"Adgrb2",661,196,255,593,186,315,316,275,37,304,694,49,489,440,241
"Adgrg1",360,106,120,387,99,139,201,179,19,197,422,21,308,187,108
"Adgrl1",1363,347,332,1591,379,248,424,525,76,587,956,59,961,522,249
"Adh5",201,59,95,112,36,97,182,59,18,102,232,10,140,131,67
"Adhfe1",78,40,41,58,16,34,12,36,6,50,84,2,67,34,17
"Adipor1",87,29,49,64,32,71,46,28,5,26,71,9,61,45,14
"Adk",269,97,128,224,83,122,205,142,22,176,272,11,236,158,94
"Adora1",680,234,238,884,198,210,368,325,51,343,589,34,702,388,175
"Adpgk",156.017,10,64,172.96,30.272,16,49,109.004,10,88.981,49,3,70.245,47,22
"Adprh",357,138,133,291,89,135,196,156,28,209,399,14,286,198,138
"Adprs",159,58,61,147,41,67,78,61,7,60,186,14,166,101,64
"Adra1b",68,80,93,154,27,81,64,74,7,96,167,10,53,171,50
"Adra1d",117,40,55,213,49,52,113,107,10,85,117,5,98,84,34
"Adrm1",26,4,41,15,3,9,12,10,7,35,69,0,27,24,17
"Adsl",137.917,38.022,67.04,118.81,51.865,79.208,68.086,69.801,9.959,47.565,109.717,8.039,87.734,51.531,42.617
"Afap1l1",359.858,47.652,58.961,208.079,87.668,28.883,70.092,134.073,3.557,63.567,191.94,8.232,173.524,116.119,43.321
"Aga",140,89,79,124,67,115,81,48,26,114,233,13,204,205,93
"Agap2",2694,1153,1046,2547,809,1145,1587,1258,143,1393,2065,126,2266,1543,869
"Agap3",2012.104,926,1058.461,2430.11,823.397,1028.628,1356.422,1139.278,157,1338.194,2661.304,154,1666.185,1525.645,1017.248
"Ager",45,8,7,36,4,24,18,18,0,23,28,3,24,32,32
"Agfg2",271,60,152,173,20,97,161,148,20,106,212,13,183,116,85
"Agpat1",376,125,111,533,89,116,128,158,31,183,339,23,289,174,109
"Agpat3",468,149,164,548,127,141,179,238,24,240,470,29,316,281,140
"Agpat4",682.231,224.119,195.783,450.45,178.886,185.914,274.053,200.136,36.83,248.293,684.925,33.138,505.399,282.704,203.544
"Agrp",80.03,33,57.164,80,30,41,57,16,2,71,75,2,123,93,49
"Agt",283,63,48,276,79,89,114,90,15,109,199.994,17,206,152,48
"Agtpbp1",944,354.704,361,1018.815,292,355,540.757,548.08,76,480.739,1281.053,45,713.597,548.539,349.571
"Ahcy",60,24,15,85,12,35,36,39,1,64,88,8,88,42,17
"Ahcyl1",364,95,112,521,168,161,166,166,18,163,532,12,325,234,105
"Ahsa1",92,57.009,74.065,142.016,61.007,41.009,105.091,67,7,65,180.021,7,131,116,35.074
"Ahsa2",605.011,106.724,168.42,416.703,240.376,118.814,223.778,280.682,28.11,200.589,488.589,13.379,457.573,257.027,112.154
"Aida",175,48,59,164,41,48,79,88,5,63,155,11,85,78,64
"Aif1",98,56,39,91,18,23,65,25,5,57,72,5,90,26,24
"Aifm3",46,31,43,108.001,47,62.039,33.999,34,10,61,57,6,32,60,31
"Aig1",415,85,127,373,127,120,134,173,11,142.779,433,25,277,156,88
"Aimp1",205,32,86,117,40,35,72,86,9,75,122,3,83,60,66
"Aimp2",205,102,79,183,55,120,116,131,12,148,254,12,223,136.98,112
"Aip",635.847,311.986,282.966,778.882,227.961,309.995,448.979,309.945,54,359.998,828.704,45,603.925,464.94,311.982
"Ajap1",320,85,90,178,78,126,143,119,15,135,379,19,199,153,111
"Ak1",585,222,278,577,201,230,382,271,44,277,710,35,536,340,239
"Ak2",104,43.999,39,116,42,28,82,45,6,65,83,8,88,84,27
"Ak3",391.709,145.445,168.826,568.718,112.395,138.654,230.088,244.251,19.145,202.152,557.597,29.656,496.305,252.778,105.219
"Ak4",294,78,88,222,75,104,145,103,9,81,309,8,232,111,53
"Ak5",205,15,53,175,51,47,59,56,4,50,131,3,127,71,28
"Akap11",401,125,145,585,145,215,227,207,24,209,466,26,341,270,87
"Akap17a",924,477,488,1051,254,426,695,442,62,471,1180,43,698,738,412
"Akap2",797.382,334.176,454.006,787.843,271.048,478.002,495,497.002,48.078,553.158,1127.113,49,675.026,579.002,292.019
"Akap7",110.001,49,54,127,27,58,75,39,4,55,92,3,69,66,60
"Akap8",118,79,73,240,55,116,95,73,9,61,173,7,115,119,50
"Akap8l",172,143,150,226,62,153,173,132,14,144,244,13,198,150,113
"Akirin2",166,65,76,180,52,91,90,89,3,115,159,14,129,99,72
"Akr1a1",1189,492,627,1364,373,713,673,635,112,636,1576,73,868,916,488
"Akr1b1",138,57,38,128,36,37,84,93,5,101,182,6,131,81,27
"Akr7a2",49,36,18,45,15,14,40,14,4,43,22,2,30,28,20
"Akt1",718,241,238,552,205,305,317,281,18,327,634,33,423,323,193
"Akt1s1",134,89,59,181,62,133,142,99,12,125,238,23,216,149,58
"Akt2",251,139,122,277,130,96,212,249,18,233,269,11,312,190,112
"Aktip",589.175,199.046,174.004,463.214,110,236.001,310.132,252.048,42.006,235.003,555.022,29,381.315,325.772,184.061
"Alad",119,75,29,135,46,74,88,105,7,77,165,4,91,53,51
"Alb",49,42,2,221,20,21,36,39,1,67,35,0,83,8,12
"Aldh2",206,100,54,127,55,62,73,54,2,61,205,8,106,122,62
